org_item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;form;item_id
item_1;gę gę;word;sounds;other;other;quack quack;;WS;item_1
item_2;hau hau;word;sounds;other;other;woof woof;;WS;item_2
item_3;ko ko ko;word;sounds;other;other;cluck cluck;;WS;item_3
item_4;kwa kwa;word;sounds;other;other;quack quack;;WS;item_4
item_5;miau;word;sounds;other;other;meow;;WS;item_5
item_6;mee/bee;word;sounds;other;other;baa baa;;WS;item_6
item_7;muu [krowa];word;sounds;other;other;moo;;WS;item_7
item_8;pi pi pi/ćwir ćwir;word;sounds;other;other;tweet tweet;;WS;item_8
item_9;bam/bum/bęc;word;sounds;other;other;boom;;WS;item_9
item_10;brrum brrum [auto];word;sounds;other;other;vroom;;WS;item_10
item_11;tik tak;word;sounds;other;other;tick-tock;;WS;item_11
item_12;tralala/lalala;word;sounds;other;other;;;WS;item_12
item_13;baran;word;animals;nouns;nouns;ram;;WS;item_13
item_14;biedronka;word;animals;nouns;nouns;ladybug;;WS;item_14
item_15;bocian;word;animals;nouns;nouns;stork;;WS;item_15
item_16;foka;word;animals;nouns;nouns;seal;;WS;item_16
item_17;gęś;word;animals;nouns;nouns;goose;;WS;item_17
item_18;gołąb;word;animals;nouns;nouns;pigeon;;WS;item_18
item_19;jeż;word;animals;nouns;nouns;hedgehog;;WS;item_19
item_20;kaczka;word;animals;nouns;nouns;duck;;WS;item_20
item_21;kogut;word;animals;nouns;nouns;rooster;;WS;item_21
item_22;koń;word;animals;nouns;nouns;horse;;WS;item_22
item_23;kot;word;animals;nouns;nouns;cat;;WS;item_23
item_24;koza;word;animals;nouns;nouns;goat;;WS;item_24
item_25;krowa;word;animals;nouns;nouns;cow;;WS;item_25
item_26;królik;word;animals;nouns;nouns;rabbit;;WS;item_26
item_27;kura;word;animals;nouns;nouns;hen;;WS;item_27
item_28;kurczątko;word;animals;nouns;nouns;chick;;WS;item_28
item_29;lew;word;animals;nouns;nouns;lion;;WS;item_29
item_30;lis;word;animals;nouns;nouns;fox;;WS;item_30
item_31;małpa;word;animals;nouns;nouns;monkey;;WS;item_31
